ID,ULTIMO_INGRESO,ID_FAB,DETALLE,CANTIDAD,COSTO_U,COSTO_TOTAL,VENTA_TOTAL,GANANCIA,BENF_COST_%,BENF_VENT_%,COTIZACION,PROVEEDOR
118357,22/06/2026,100-100000644BOX,PROCESADOR AMD (AM4) RYZEN 5 4500 65W,1.000,69.58000,69.58000000,80.68,11.1,15.96,13.76,,LASET S.A.
121406,03/12/2025,31620005400,VOLANTE Y PEDALERA GENIUS SPEEDMASTER X1 CAJA MANUAL,3.000,84.62000,253.86000000,321.43,67.57,26.62,21.02,,LASET S.A.
122387,13/04/2026,MF400M-SHNN-S00,GABINETE COOLER MASTER 400 MASTER FRAME MESH SILVER,2.000,91.80000,183.60000000,211.06,27.46,14.96,13.01,,LASET S.A.
122532,19/05/2026,M701 ROG AZOTH/NXSW/ES,TECLADO WIRELESS ASUS ROG AZOTH M701 NX ESPA�OL MECA 75%,2.000,151.09000,302.18000000,350.39,48.21,15.95,13.76,,LASET S.A.
104286,23/04/2026,PBU960GS25SSDR,DISCO PATRIOT BURST SOLID 960 GB SATA3 SSD,1.000,98.18240,98.18240000,112.62,14.44,14.7,12.82,,New Bytes INC
104830,03/12/2025,ARXGP-500W,FUENTE AUREOX 500W ARXGP 500,8.000,15.65000,125.20000000,168.91,43.71,34.91,25.88,,LASET S.A.
111598,07/10/2021,TEC ARXP-GK400,TECLADO AUREOX BATTLETAG GAMING GK400,3.000,8.93200,26.79600000,32.13,5.33,19.9,16.6,,LASET S.A.
120429,25/08/2025,25631,PILAS AA RECARGABLES USB-C TRUST X4,3.000,13.19000,39.57000000,49.05,9.48,23.96,19.33,,LASET S.A.
122478,12/03/2026,MILAN-TCR-G,"TAPA CIEGA RECTANGULAR MILAN GRIS MACROLED, BASTIDOR METALICO",3.000,1.24500,3.73500000,4.59,0.85,22.88,18.62,,CORESA GROUP SRL
121090,15/09/2025,CL-W462-PL12SW-A,WATER COOLER THERMALTAKE LA360-S ARGB SYNC ALL IN ONE BLACK,1.000,79.78000,79.78000000,96.49,16.71,20.95,17.32,,LASET S.A.
121484,13/11/2025,RX-550XTB,FUENTE GAMER 550W RAIDMAX XTB,1.000,16.90000,16.90000000,23.65,6.75,39.96,28.55,,LASET S.A.
121672,12/02/2026,P220S256G25,DISCO SSD PATRIOT P220 256GB 2.5 SATA3 PS001662,2.000,38.44000,76.88000000,106.06,29.18,37.95,27.51,,LASET S.A.
122633,20/05/2026,31730059404,PARLANTE BLUETOOTH GENIUS SP-HF1220BT 45W PINE WOOD,1.000,66.99000,66.99000000,78.35,11.36,16.95,14.49,,LASET S.A.
